Date,cases,new
3/12/2020,17,
3/13/2020,30,13
3/14/2020,41,11
3/15/2020,45,4
3/16/2020,51,6
3/17/2020,66,15
3/18/2020,76,10
3/19/2020,92,16
3/20/2020,114,22
3/21/2020,153,39
3/22/2020,222,69
3/23/2020,254,32
3/24/2020,290,36
3/25/2020,391,101
3/26/2020,460,69
3/27/2020,604,144
3/28/2020,739,135
3/29/2020,890,151
3/30/2020,1020,130
3/31/2020,1250,230
4/1/2020,1484,234
4/2/2020,1706,222
4/3/2020,2012,306
4/4/2020,2407,395
4/5/2020,2637,230
4/6/2020,2878,241
4/7/2020,3333,455
4/8/2020,3645,312
4/9/2020,4042,397
4/10/2020,4509,467
4/11/2020,5077,568
4/12/2020,5274,197
4/13/2020,5747,473
4/14/2020,6171,424
4/15/2020,6500,329
4/16/2020,6889,389
4/17/2020,7491,602
4/18/2020,8053,562
4/19/2020,8537,484
4/20/2020,8990,453
4/21/2020,9630,640
4/22/2020,10267,637
4/23/2020,10998,731
4/24/2020,11594,596
4/25/2020,12336,742
4/26/2020,12970,634
4/27/2020,13535,565
4/28/2020,14339,804
4/29/2020,14961,622
4/30/2020,15846,885
5/1/2020,16901,1055
5/2/2020,17731,830
5/3/2020,18671,940
5/4/2020,19492,821
5/5/2020,20256,764
5/6/2020,20985,729
5/7/2020,21570,585
5/8/2020,,
5/9/2020,,
5/10/2020,,
5/11/2020,,
5/12/2020,,
5/13/2020,,
5/14/2020,,
5/15/2020,,
5/16/2020,,
5/17/2020,,
5/18/2020,,
5/19/2020,,
5/20/2020,,
5/21/2020,,
5/22/2020,,
5/23/2020,,
5/24/2020,,
5/25/2020,,
5/26/2020,,
5/27/2020,,
5/28/2020,,
5/29/2020,,
5/30/2020,,
